	id	label
669	816	RUA JAO
670	877	RUA P 16
671	827	AV DOM PEDRO II
672	480	CONDOMINIO DO LAGO
673	417	RUA VIRGILIO JOAQUIM FERREIRA
674	351	AVENIDA MADRID
675	444	RUA 115
676	1115	R MARIA ERMILIA DE ARAUJO
677	141	RUA 1024
678	863	RUA CP 6
679	197	ALAMEDA AMERICANO DO BRASIL
680	191	R JACARANDAS,DOS
681	790	RUA 102 C
682	1452	AV. FRANCISCO MELO
683	1198	RUA GB 2 A
684	266	RUA C 235 A
685	1067	RUA BM 1
686	51	AVENIDA DEPUTADO JAMEL CECILIO
687	413	R NATAL
688	448	PRACA GODOFREDO LEOPOLDINO DE AZEVEDO
689	1326	R GERANIOS,DOS
690	177	RUA VV 5
691	1308	R T 30
692	630	RODOVIA GO 70
693	1157	RUA PRES HERMES DA FONSECA
694	1428	RUA EL GRECO
695	1098	R A 31
696	1046	RUA NOVA
697	145	R T 36
698	326	ALAMEDA CARVALHOS,DOS
699	1239	RUA R 8
700	1389	RUA NOVO PLANALTO
701	807	RUA 115 D
702	776	RUA JOSE HERMANO
703	1337	RODOVIA GO 80
704	227	RUA 13 RUA 72 E AV. H. QUADRA C8 LOTES 17A-23A
705	582	RUA SEVILHA
706	344	PRACA CEL INACIO ELIAS BUFAICAL
707	868	RUA 1037
708	714	RUA BOUGANVILIA
709	1029	RUA LACI
710	1311	RUA SB 13
711	1321	SETOR BUENO
712	6	ALAMEDA COUTO MAGALHAES
713	1361	R ASTURIAS
714	287	RUA SB 28
715	727	RUA MADRI 18
716	126	RUA ITAIRA
717	293	RUA PIZA
718	405	RUA CAOBA
719	970	RUA 56 QUADRA B 08
720	1453	AV C
721	1004	RUA R 15
722	1057	AVENIDA CONTORNO
723	222	RUA T 60
724	595	R SAO LUIS
725	543	R MDV 9
726	399	R JERIVAS,DOS
727	345	RUA 5
728	1247	RUA SERRA DO FOGO
729	971	RUA PEROBA
730	1420	AVENIDA RUI BARBOSA
731	1447	AVENIDA SÃO LUIZ QUADRA 125 PARQUE AMAZONIA
732	762	RUA T 28
733	875	RUA PRESIDENTE HERMES DA FONSECA
734	570	RUA C 53
735	249	RUA C 123
736	1461	RUA CV 20
737	1118	AVENIDA ARAUCARIA
738	1365	RUA HOLANDA
739	411	RUA 1123
740	442	ALAMEDA BUGANVILIAS,DAS
741	1097	RUA 18 UNID 201
742	1107	RUA 84
743	1114	AVENIDA T05, QD.144, LT.8
744	270	RUA 14 A
745	1456	RUA C 200
746	1207	R DRACENAS,DAS
747	742	RUA NITERÓI
748	242	R GLORIA,DA
749	568	R TERESINA
750	1253	EMILIE RASSI Q 12 L14
751	694	RUA 10
752	693	RUA SEBASTIAO JULIO DE AGUIAR
753	1256	AVENIDA PADRE ORLANDO DE MORAIS
754	873	RUA NITERÓI COM AVENIDA PADRE ORLANDO E RUA EXP. JOSÉ GOIANO QD.148 LT.0103- 2325
755	376	AVENIDA BOULEVARD CONDE DOS ARCOS
756	1379	RUA C 184
757	223	RUA 56 A
758	199	RUA J 3
759	767	RUA PRES CLEVELAND
760	489	AVENIDA ORLANDO MARQUES DE ABREU
761	377	RUA SOIA,DA
762	416	RUA VM A
763	638	R ALM TAMANDARE
764	478	RUA 227
765	1170	RUA SC 43
766	1269	AVENIDA T 6
767	562	RUA SALMAO,DO
768	949	RUA HENRIQUE PERIM
769	40	AVENIDA JOSE RODRIGUES DE MORAIS NETO
770	497	RUA 220
771	504	RUA F 58
772	384	APHAVILLE CRUZEIRO DO SUL
773	581	AVENIDA GOIAS
774	297	RUA GENTIL PINTO
775	514	RUA CONDE 1
776	246	RUA VV 8
777	1131	RUA K QUADRA D-11 LOTES 74-76-78  80-82 SETOR OESTE GOIÂNIA - GO
778	721	RUA 88
779	1350	AVENIDA 15 DE OUTUBRO
780	1344	AVENIDA SEGUNDA AV
781	71	AVENIDA CIRCULAR
782	669	RUA 36
783	390	R IVAI
784	397	RUA T37 QD. 166 LOTE 1 A 14
785	21	AV RAVENA
786	842	AL BEGONIAS,DAS
787	195	R EUGENIAS,DAS
788	575	RUA NITEROI
789	243	RUA ROSALIAS,DAS
790	1424	RUA GAMELEIRA
791	46	RUA T 33
792	698	AVENIDA PERIMETRAL
793	632	AV ALPHAVILLE FLAMBOYANT
794	818	R IRMA ANTONIETA ESMERALDA CABRAL
795	50	RUA T 30
796	934	ALAMEDA J 22
797	1016	AV: PERIMENTAL NORTE C/ RUA ESPERANÇA,
798	1360	RUA SB 7
799	1368	RUA 103 B
800	472	ALAMEDA HIGINO PIRES MARTINS
801	787	RUA ACAPU
802	283	RUA T 37
803	1037	RUA TAMBUQUI
804	1177	RUA HORTENSIAS,DAS
805	648	RUA SAO PAULO
806	534	ALAMEDA RICARDO PARANHOS
807	1140	18 A
808	622	PRACA T 25
809	1030	AVENIDA JOSE MARTINS GUERRA
