?	price	sector	street	type	room	suite	park	m2
830	2.200.000	0	270	0	5	5	4	317
831	340.000	23	115	0	3	1	1	86
834	270.000	6	180	0	3	1	2	87
835	550.000	100	286	1	3	1	3	340
836	1.050.000	58	233	2	4	4	4	214
837	1.150.000	101	287	2	4	4	4	380
838	410.000	23	120	0	3	1	2	125
839	1.200.000	44	288	2	3	3	4	240
840	590.000	6	112	0	3	3	2	98
841	250.000	7	289	0	3	1	1	72
842	1.180.000	44	290	2	4	4	3	452
846	1.850.000	102	291	2	4	4	2	430
848	3.070.080	5	292	0	4	4	4	411
849	265.000	14	160	0	2	2	2	71
850	1.010.000	0	173	0	5	4	3	228
852	1.161.550	5	61	0	3	3	3	182
853	420.000	13	19	0	3	3	2	92
854	648.065	1	98	0	3	3	1	117
856	430.000	26	293	1	3	1	4	180
857	298.982	48	113	0	3	3	2	77
859	322.450	23	294	0	2	1	1	69
863	2.500.000	61	36	2	4	4	4	450
868	365.000	2	36	1	3	1	4	179
869	310.000	9	13	0	3	1	1	75
870	850.000	0	295	0	2	2	3	130
873	750.000	23	36	0	3	1	2	119
874	240.000	23	296	0	3	1	1	106
876	30.000	103	297	0	2	1	1	62
877	3.400.000	23	36	0	5	5	8	534
880	490.000	2	33	0	3	1	2	96
881	201.201	89	21	0	2	1	1	64
882	385.000	9	90	0	3	3	2	79
883	201.201	89	21	0	2	1	1	64
886	420.000	1	92	0	3	1	2	104
895	615.000	104	127	2	3	1	3	202
896	200.000	13	36	0	2	1	1	57
897	475.000	34	78	0	3	2	2	109
898	1.050.000	73	182	2	4	4	2	214
901	435.000	23	161	0	3	3	2	100
902	325.000	13	99	0	3	1	2	87
903	340.000	25	68	0	3	3	1	78
904	1.990.000	1	36	0	4	4	5	259
905	695.000	5	298	2	4	2	3	193
906	480.000	23	299	0	2	2	1	77
914	246.165	40	139	0	2	1	1	58
915	851.000	1	169	0	3	3	3	177
917	3.340.173	5	292	0	4	4	4	411
918	2.200.000	22	300	2	4	4	4	380
920	260.000	105	301	2	3	2	2	75
921	660.000	25	302	0	3	3	2	119
924	619.000	13	99	2	3	3	2	157
927	400.000	106	303	1	3	1	4	268
932	650.000	0	36	0	4	2	2	126
937	1.050.000	6	304	1	4	4	6	350
939	200.000	107	305	1	3	2	3	375
940	1.350.000	73	182	2	4	4	3	300
941	180.000	7	93	0	2	1	1	57
943	1.180.000	44	195	2	4	4	4	236
944	190.000	92	265	0	2	1	1	63
945	380.000	2	33	0	3	1	2	95
946	180.000	47	6	0	2	1	1	64
947	250.000	81	306	1	3	1	3	135
948	500.000	71	307	1	3	1	4	300
949	750.000	6	308	2	3	3	5	240
950	2.900.000	75	309	2	4	4	2	315
955	770.000	5	310	0	3	3	2	139
957	250.000	23	311	0	3	1	1	89
958	350.000	23	273	0	3	1	1	109
959	293.500	25	68	0	2	1	2	57
961	1.057.816	5	214	0	3	3	2	177
963	590.000	29	163	2	3	3	3	159
965	600.000	0	140	0	3	3	2	112
966	255.000	9	312	0	2	1	1	54
967	1.930.000	0	313	0	4	4	4	271
968	430.000	23	314	0	3	1	2	127
969	1.050.000	0	313	0	4	4	3	187
972	850.000	1	4	0	4	2	3	165
